type_word	cluster_number	silhouette	medoid_label
actress/nn	11	0.43927878	man/nn
advance/vv	13	0.022921575	myself/pp
agencies/nn	7	0.2609708	taxpayer/nn
agency/nn	9	0.36372203	jury/nn
aids/nn	13	0.072546534	myself/pp
alan/np	9	0.50223505	jury/nn
america/np	4	0.7055242	russia/np
anybody/pn	6	0.7147774	anyone/pn
anyone/pn	6	0.7004932	anyone/pn
anything/pn	6	0.6274492	anyone/pn
arm/nn	1	0.6349116	son/nn
army/nn	9	0.41053882	jury/nn
artist/nn	12	0.1355134	individual/nn
association/nn	7	0.5717694	taxpayer/nn
boss/nn	1	0.6400335	son/nn
boys/nn	3	0.49035856	guys/nn
boy/nn	11	0.5881817	man/nn
brother/nn	1	0.6725828	son/nn
bush/np	10	0.34001577	president/np
businesses/nn	3	0.2481957	guys/nn
business/nn	4	0.5806193	russia/np
campaign/nn	9	0.26339287	jury/nn
candidate/nn	10	0.23721121	president/np
car/nn	4	0.49883503	russia/np
charity/nn	8	0.25240892	me/nn
child/nn	2	0.58240885	parents/nn
citizen/nn	7	0.6415036	taxpayer/nn
city/nn	4	0.6809112	russia/np
companies/nn	12	0.14933765	individual/nn
company/nn	9	0.27068692	jury/nn
competitor/nn	2	0.5857357	parents/nn
convict/nn	12	0.34448087	individual/nn
countries/nn	3	0.5809751	guys/nn
country/nn	4	0.63413835	russia/np
court/nn	9	0.5259105	jury/nn
criminal/nn	12	0.38650906	individual/nn
criminals/nn	7	0.6370601	taxpayer/nn
dad/nn	1	0.68381715	son/nn
daughters/nn	1	0.5205305	son/nn
daughter/nn	1	0.61026216	son/nn
district/nn	4	0.044233013	russia/np
dogs/nn	3	0.4257891	guys/nn
employees/nn	2	0.3192264	parents/nn
dog/nn	5	0.0524263	university/nn
employee/nn	2	0.4577372	parents/nn
enterprise/nn	7	0.63285	taxpayer/nn
entrant/nn	9	0.40937772	jury/nn
environment/nn	9	0.17734206	jury/nn
europe/np	4	0.71287596	russia/np
everybody/pn	6	0.72414684	anyone/pn
everyone/pn	6	0.7042687	anyone/pn
fbi/np	9	0.43602756	jury/nn
folk/nn	12	0.19859283	individual/nn
food/nn	13	0.34838343	myself/pp
fred/np	14	0.20842244	irvin/np
friends/nn	3	0.2690766	guys/nn
friend/nn	1	0.55682135	son/nn
girl/nn	11	0.59725606	man/nn
government/nn	9	0.49345508	jury/nn
grandparents/nn	4	0.35760868	russia/np
grandparent/nn	1	0.32156128	son/nn
group/nn	5	0.28428262	university/nn
grower/nn	9	0.3720401	jury/nn
grown-up/nn	8	0.18762565	me/nn
guy/nn	12	0.16363417	individual/nn
guys/nn	3	0.5166031	guys/nn
her/pp	8	0.013881145	me/nn
him/nn	0	0.3330767	women/nn
him/pp	8	0.05912883	me/nn
horses/nn	0	0.26055124	women/nn
household/nn	4	0.72109646	russia/np
houses/nn	3	0.5532888	guys/nn
house/nn	9	0.47295862	jury/nn
husband/nn	1	0.6468399	son/nn
individual/nn	12	0.44908893	individual/nn
iranian/nn	9	0.47578827	jury/nn
irvin/np	14	0.6381289	irvin/np
it/pp	14	0.5730438	irvin/np
judge/nn	9	0.4691127	jury/nn
jury/nn	9	0.552548	jury/nn
kid/nn	2	0.2551497	parents/nn
kids/nn	0	0.05473647	women/nn
kitty/np	8	-0.025547655	me/nn
kurds/np	14	0.37390894	irvin/np
lady/nn	2	-0.17310606	parents/nn
leland/np	14	0.47558892	irvin/np
lord/np	10	0.2872139	president/np
mama/nn	1	0.69102013	son/nn
man/nn	11	0.51935285	man/nn
management/nn	5	0.41503194	university/nn
mater/nn	1	0.7021644	son/nn
matter/nn	5	0.13412827	university/nn
me/nn	8	0.31843656	me/nn
me/pp	8	0.21456283	me/nn
members/nn	5	0.22895339	university/nn
member/nn	5	0.43611553	university/nn
mom/nn	1	0.7135723	son/nn
mom/np	10	0.26351485	president/np
mother/nn	1	0.69388545	son/nn
myself/pp	13	0.45100704	myself/pp
nation/nn	9	0.45667297	jury/nn
nicaragua/np	4	0.712969	russia/np
other/nn	13	0.34835184	myself/pp
parents/nn	2	0.6059147	parents/nn
parent/nn	2	-0.110107176	parents/nn
peasant/nn	12	0.4652585	individual/nn
people/nn	12	0.21894662	individual/nn
person/nn	12	0.42892876	individual/nn
plaintiff/nn	9	0.48282114	jury/nn
planner/nn	5	0.24606025	university/nn
president/np	10	0.2135987	president/np
public/nn	7	0.16673061	taxpayer/nn
rashad/np	14	0.5779348	irvin/np
reader/nn	2	0.46182543	parents/nn
rear/vv	2	0.5416929	parents/nn
russia/np	4	0.7247034	russia/np
ryan/np	9	0.3735092	jury/nn
schwartzkopf/np	7	0.4712295	taxpayer/nn
scout/nn	11	0.47581458	man/nn
sister/nn	1	0.6913308	son/nn
somebody/pn	6	0.6058111	anyone/pn
someone/pn	6	0.38957012	anyone/pn
son/nn	1	0.68710214	son/nn
sons/nn	3	0.41743395	guys/nn
stomach/nn	1	0.66268325	son/nn
stranger/nn	5	-0.0032359099	university/nn
students/nn	2	0.07503504	parents/nn
student/nn	11	0.34420478	man/nn
taxpayer/nn	7	0.5465871	taxpayer/nn
teacher/nn	11	0.31342888	man/nn
team/nn	9	0.39236772	jury/nn
that/dd	14	0.5625281	irvin/np
them/pp	8	0.05561908	me/nn
theory/nn	5	-0.103182696	university/nn
things/nn	3	0.47126597	guys/nn
thing/nn	12	0.056922078	individual/nn
thomases/np	8	0.0065722666	me/nn
topic/nn	5	0.17829974	university/nn
trek/np	14	0.5566441	irvin/np
troop/nn	7	0.62407273	taxpayer/nn
twins/nn	0	0.31592953	women/nn
twin/nn	1	0.64582705	son/nn
university/nn	5	0.42985597	university/nn
us/pp	8	0.23433103	me/nn
veteran/nn	12	0.39539358	individual/nn
veto/nn	10	0.35540006	president/np
vietnamese/nn	9	0.44531474	jury/nn
washington/np	4	0.7409061	russia/np
white/nn	13	0.40365568	myself/pp
wife/nn	1	0.6291482	son/nn
woman/nn	11	0.4845148	man/nn
women/nn	0	0.49225765	women/nn
wwf/np	9	0.43924597	jury/nn
you/pp	6	0.49625638	anyone/pn
