cw	x	y	cluster_number	silhouette	medoid_label	final_cluster
actress/nn	8.509583989028142	2.9775436448923056	11	0.43927878	man/nn	man/nn
advance/vv	-3.697772979320431	0.38834348465606094	13	0.022921575	myself/pp	myself/pp
agencies/nn	-11.221601280017543	-9.830335091613195	7	0.2609708	taxpayer/nn	taxpayer/nn
agency/nn	-9.87037374286501	-7.152363839487045	9	0.36372203	jury/nn	jury/nn
aids/nn	-2.0865158232232472	0.5029589864546721	13	0.072546534	myself/pp	myself/pp
alan/np	-9.862603392676014	-6.4665736044675155	9	0.50223505	jury/nn	jury/nn
america/np	-11.986004872022114	-1.5114186899663629	4	0.7055242	russia/np	russia/np
anybody/pn	11.221415146350637	0.18245344520202353	6	0.7147774	anyone/pn	anyone/pn
anyone/pn	11.014643202905738	0.6881207004910355	6	0.7004932	anyone/pn	anyone/pn
anything/pn	11.66555489776722	0.7622091638763397	6	0.6274492	anyone/pn	anyone/pn
arm/nn	7.159147634143087	10.791910826697505	1	0.6349116	son/nn	son/nn
army/nn	-11.695812439721605	-7.5094787191345835	9	0.41053882	jury/nn	jury/nn
artist/nn	6.54568508926848	0.35418218213124936	12	0.1355134	individual/nn	individual/nn
association/nn	-10.136667737994452	-9.60886569038917	7	0.5717694	taxpayer/nn	taxpayer/nn
boss/nn	7.199550437491073	10.72764576159918	1	0.6400335	son/nn	son/nn
boys/nn	9.867370699260931	-2.584237345161366	3	0.49035856	guys/nn	guys/nn
boy/nn	9.154733397633724	4.032558623828331	11	0.5881817	man/nn	man/nn
brother/nn	7.643336857344964	11.615099663752098	1	0.6725828	son/nn	son/nn
bush/np	-13.17952741996395	-3.293725862568838	10	0.34001577	president/np	president/np
businesses/nn	9.132144331954493	-2.272983424056085	3	0.2481957	guys/nn	guys/nn
business/nn	-10.705548029761392	-1.1859635667470962	4	0.5806193	russia/np	russia/np
campaign/nn	-12.054404127393418	-5.185932921985502	9	0.26339287	jury/nn	jury/nn
candidate/nn	-12.993222202740041	-4.126238405363875	10	0.23721121	president/np	president/np
car/nn	-11.02844045797732	-2.009534731800683	4	0.49883503	russia/np	russia/np
charity/nn	-1.9377874222400862	-0.5797118918390868	8	0.25240892	me/nn	me/nn
child/nn	7.866939606323038	7.2284739357715955	2	0.58240885	parents/nn	parents/nn
citizen/nn	-10.640777513069512	-10.326169139641973	7	0.6415036	taxpayer/nn	taxpayer/nn
city/nn	-12.06710751362073	-1.4709631065194715	4	0.6809112	russia/np	russia/np
companies/nn	8.158430132160827	-1.620311953692155	12	0.14933765	individual/nn	individual/nn
company/nn	-11.952824279384185	-8.29470295125796	9	0.27068692	jury/nn	jury/nn
competitor/nn	7.2312149520841285	7.704907253912911	2	0.5857357	parents/nn	parents/nn
convict/nn	8.754637445765018	0.438954693611071	12	0.34448087	individual/nn	individual/nn
countries/nn	9.11590370690376	-3.214639784825095	3	0.5809751	guys/nn	guys/nn
country/nn	-11.253649935207378	-1.9798659803791192	4	0.63413835	russia/np	russia/np
court/nn	-10.000718588413305	-6.125392291881957	9	0.5259105	jury/nn	jury/nn
criminal/nn	7.864197792399605	0.29071075933348994	12	0.38650906	individual/nn	individual/nn
criminals/nn	-10.792338213617395	-10.279235617385162	7	0.6370601	taxpayer/nn	taxpayer/nn
dad/nn	8.94775139870882	11.843788093531279	1	0.68381715	son/nn	son/nn
daughters/nn	8.917681120298326	9.896005925917743	1	0.5205305	son/nn	son/nn
daughter/nn	9.474736842585239	10.546588752618009	1	0.61026216	son/nn	son/nn
district/nn	-11.124790201954148	-3.5575164094956486	4	0.044233013	russia/np	russia/np
dogs/nn	8.637422349156143	-3.72575176325487	3	0.4257891	guys/nn	guys/nn
employees/nn	6.650566590173292	7.019894799609095	2	0.3192264	parents/nn	parents/nn
dog/nn	3.34207862960461	-0.2569498390937554	5	0.0524263	university/nn	university/nn
employee/nn	7.318411371936575	6.301238159509703	2	0.4577372	parents/nn	parents/nn
enterprise/nn	-10.09199352834247	-9.813883151158498	7	0.63285	taxpayer/nn	taxpayer/nn
entrant/nn	-11.246868615889813	-4.936486504808059	9	0.40937772	jury/nn	jury/nn
environment/nn	-11.202304971601482	-4.2610818529206655	9	0.17734206	jury/nn	jury/nn
europe/np	-11.121577936595106	-0.9932642325518378	4	0.71287596	russia/np	russia/np
everybody/pn	11.394900681187423	0.18289870368740008	6	0.72414684	anyone/pn	anyone/pn
everyone/pn	11.231002510914768	0.17914812592895246	6	0.7042687	anyone/pn	anyone/pn
fbi/np	-10.843144464930917	-7.426438088612226	9	0.43602756	jury/nn	jury/nn
folk/nn	9.323361345950882	-0.8689834817935159	12	0.19859283	individual/nn	individual/nn
food/nn	-2.357917046360635	1.2873277865424704	13	0.34838343	myself/pp	myself/pp
fred/np	-5.989953126552094	-2.1845773860747073	14	0.20842244	irvin/np	irvin/np
friends/nn	8.64177460922913	-3.9456523836481323	3	0.2690766	guys/nn	guys/nn
friend/nn	7.974032972788211	10.218237607045266	1	0.55682135	son/nn	son/nn
girl/nn	9.180968976812514	3.9348855010107537	11	0.59725606	man/nn	man/nn
government/nn	-10.019416260006555	-6.014111210217912	9	0.49345508	jury/nn	jury/nn
grandparents/nn	-10.172803740223987	-1.0699105843875159	4	0.35760868	russia/np	russia/np
grandparent/nn	8.090243183778092	9.564071990716174	1	0.32156128	son/nn	son/nn
group/nn	4.868227991125754	-0.7853407870286961	5	0.28428262	university/nn	university/nn
grower/nn	-12.038578600672261	-8.148013916561101	9	0.3720401	jury/nn	jury/nn
grown-up/nn	-2.1280176689292807	-1.0130929261957757	8	0.18762565	me/nn	me/nn
guy/nn	8.925478413097256	-1.2190991921343854	12	0.16363417	individual/nn	individual/nn
guys/nn	9.485453113652586	-2.6326911407315623	3	0.5166031	guys/nn	guys/nn
her/pp	-2.765921609291154	0.15793919666361955	8	0.013881145	me/nn	me/nn
him/nn	-0.4919938937736165	1.1106180463124011	0	0.3330767	women/nn	women/nn
him/pp	-3.194766213983347	0.3045620693027968	8	0.05912883	me/nn	me/nn
horses/nn	-0.5827163465815385	0.9903750567744657	0	0.26055124	women/nn	women/nn
household/nn	-11.573102163721789	-0.7706397018448999	4	0.72109646	russia/np	russia/np
houses/nn	9.778924047699999	-2.9430107361587217	3	0.5532888	guys/nn	guys/nn
house/nn	-12.486883114187883	-6.768712872712841	9	0.47295862	jury/nn	jury/nn
husband/nn	8.924589644883351	10.19116770943311	1	0.6468399	son/nn	son/nn
individual/nn	9.01928914278567	-0.27389899102412096	12	0.44908893	individual/nn	individual/nn
iranian/nn	-11.6611922505005	-6.222503485772362	9	0.47578827	jury/nn	jury/nn
irvin/np	-5.393391808179618	-1.1812391336909125	14	0.6381289	irvin/np	irvin/np
it/pp	-5.356676452327908	-1.4286345255636632	14	0.5730438	irvin/np	irvin/np
judge/nn	-9.975797065014458	-7.040704453873636	9	0.4691127	jury/nn	jury/nn
jury/nn	-11.69945126547302	-6.84822606440724	9	0.552548	jury/nn	jury/nn
kid/nn	8.014363473298388	6.290406941365312	2	0.2551497	parents/nn	parents/nn
kids/nn	6.126676994044385	6.591533096099603	0	0.05473647	women/nn	women/nn
kitty/np	-4.1115163640349115	-1.9141640851654154	8	-0.025547655	me/nn	NA
kurds/np	-5.072382247283698	-0.44546192877491536	14	0.37390894	irvin/np	irvin/np
lady/nn	8.925322754176856	5.129856446848569	2	-0.17310606	parents/nn	NA
leland/np	-5.946429343887376	-0.9933682326531562	14	0.47558892	irvin/np	irvin/np
lord/np	-7.266673370736342	-2.7670467582755687	10	0.2872139	president/np	president/np
mama/nn	9.27012098574234	11.643197010367924	1	0.69102013	son/nn	son/nn
man/nn	8.91264849057169	3.039924484087195	11	0.51935285	man/nn	man/nn
management/nn	4.253957309208622	-1.7333281089642527	5	0.41503194	university/nn	university/nn
mater/nn	8.868327512193424	11.147669617003071	1	0.7021644	son/nn	son/nn
matter/nn	5.459079441862119	-0.3202593288336087	5	0.13412827	university/nn	university/nn
me/nn	-2.3966839146430954	-0.6966033154233557	8	0.31843656	me/nn	me/nn
me/pp	-3.0982150895487357	-0.19341396653833268	8	0.21456283	me/nn	me/nn
members/nn	5.130460205069028	-1.5791914266128897	5	0.22895339	university/nn	university/nn
member/nn	4.579630909043713	-1.3396466608120827	5	0.43611553	university/nn	university/nn
mom/nn	9.327944532215389	11.395162758414502	1	0.7135723	son/nn	son/nn
mom/np	-7.561064505204853	-3.0921581971847503	10	0.26351485	president/np	president/np
mother/nn	8.486066093824723	10.833048494958584	1	0.69388545	son/nn	son/nn
myself/pp	-2.264294154234149	1.3240860702774218	13	0.45100704	myself/pp	myself/pp
nation/nn	-11.15144779786653	-7.454641296448233	9	0.45667297	jury/nn	jury/nn
nicaragua/np	-11.8492127541034	-0.923415392734261	4	0.712969	russia/np	russia/np
other/nn	-1.8179337282677568	1.2162387974368318	13	0.34835184	myself/pp	myself/pp
parents/nn	7.699947562079345	7.365787408482589	2	0.6059147	parents/nn	parents/nn
parent/nn	7.951833988098678	9.052688487318491	2	-0.110107176	parents/nn	NA
peasant/nn	8.52925118832702	-0.46757859663636087	12	0.4652585	individual/nn	individual/nn
people/nn	9.335474276686213	0.25291815757794484	12	0.21894662	individual/nn	individual/nn
person/nn	7.626412005924542	0.4834034228941852	12	0.42892876	individual/nn	individual/nn
plaintiff/nn	-11.369447240370324	-6.050815513120531	9	0.48282114	jury/nn	jury/nn
planner/nn	4.622909022392328	-1.7827435840510315	5	0.24606025	university/nn	university/nn
president/np	-7.292004317881831	-2.8328015027527247	10	0.2135987	president/np	president/np
public/nn	-10.631738597027612	-8.941352563869172	7	0.16673061	taxpayer/nn	taxpayer/nn
rashad/np	-5.320625440186986	-1.332290797342097	14	0.5779348	irvin/np	irvin/np
reader/nn	7.592997629538986	8.013408040840984	2	0.46182543	parents/nn	parents/nn
rear/vv	7.034233504010836	7.722223450976476	2	0.5416929	parents/nn	parents/nn
russia/np	-11.174188692552812	-1.2722087235434785	4	0.7247034	russia/np	russia/np
ryan/np	-12.682328383561652	-6.5630608582756524	9	0.3735092	jury/nn	jury/nn
schwartzkopf/np	-10.208050558004254	-10.672779412067635	7	0.4712295	taxpayer/nn	taxpayer/nn
scout/nn	9.15831044060036	4.278205853156253	11	0.47581458	man/nn	man/nn
sister/nn	8.082536175236937	11.704106314611842	1	0.6913308	son/nn	son/nn
somebody/pn	10.660751466305983	0.7704367479513821	6	0.6058111	anyone/pn	anyone/pn
someone/pn	10.43742754420371	0.694994225251364	6	0.38957012	anyone/pn	anyone/pn
son/nn	8.139175708793331	10.725907040864927	1	0.68710214	son/nn	son/nn
sons/nn	9.65246720203939	-2.40579926346845	3	0.41743395	guys/nn	guys/nn
stomach/nn	9.51611977589781	11.07611451774725	1	0.66268325	son/nn	son/nn
stranger/nn	5.76805375306402	0.30604894969537433	5	-0.0032359099	university/nn	NA
students/nn	7.648274730374672	5.529133140180125	2	0.07503504	parents/nn	parents/nn
student/nn	8.080998206458453	3.4251734651426036	11	0.34420478	man/nn	man/nn
taxpayer/nn	-10.4472381097235	-9.493433885725091	7	0.5465871	taxpayer/nn	taxpayer/nn
teacher/nn	7.947692719696227	3.922463885925368	11	0.31342888	man/nn	man/nn
team/nn	-12.014057549621775	-7.431896119364451	9	0.39236772	jury/nn	jury/nn
that/dd	-5.7118437741306405	-0.7308855082455576	14	0.5625281	irvin/np	irvin/np
them/pp	-3.8566705879258296	-0.16224689025478062	8	0.05561908	me/nn	me/nn
theory/nn	-13.932739760798135	-4.233787958702579	5	-0.103182696	university/nn	NA
things/nn	8.671141533678822	-3.5313246343646973	3	0.47126597	guys/nn	guys/nn
thing/nn	7.622577066710545	-1.8704583176999918	12	0.056922078	individual/nn	individual/nn
thomases/np	-1.5428260582874553	-0.24856066954884937	8	0.0065722666	me/nn	me/nn
topic/nn	3.519815381565859	-0.3525243814885855	5	0.17829974	university/nn	university/nn
trek/np	-5.11404289887553	-0.8475168622850824	14	0.5566441	irvin/np	irvin/np
troop/nn	-10.326697671825892	-10.40339967908062	7	0.62407273	taxpayer/nn	taxpayer/nn
twins/nn	0.3198283605605997	1.6211151231020964	0	0.31592953	women/nn	women/nn
twin/nn	7.957086013583575	11.793084266998774	1	0.64582705	son/nn	son/nn
university/nn	4.6413878715803305	-1.0594440300107801	5	0.42985597	university/nn	university/nn
us/pp	-3.083437763339573	-0.3462450009232039	8	0.23433103	me/nn	me/nn
veteran/nn	7.721456445142535	0.11864886254698132	12	0.39539358	individual/nn	individual/nn
veto/nn	-13.276490929808416	-3.645346061927715	10	0.35540006	president/np	president/np
vietnamese/nn	-10.999229683029457	-6.231108915900121	9	0.44531474	jury/nn	jury/nn
washington/np	-11.801736765973283	-0.9153139504186328	4	0.7409061	russia/np	russia/np
white/nn	-2.0631080929965755	1.4481924565722717	13	0.40365568	myself/pp	myself/pp
wife/nn	7.106588029673859	11.019058130299735	1	0.6291482	son/nn	son/nn
woman/nn	8.963397765560657	2.9677504118184412	11	0.4845148	man/nn	man/nn
women/nn	-0.05737703296362335	1.3963937662631343	0	0.49225765	women/nn	women/nn
wwf/np	-11.20874026743502	-7.2109880546992215	9	0.43924597	jury/nn	jury/nn
you/pp	11.739301438264	0.7344693661777335	6	0.49625638	anyone/pn	anyone/pn
